(74, 10948)
(388, 10152)
(458, 1682)
(520, 4282)
(530, 4276)
(530, 10370)
(592, 2046)
(614, 1756)
(646, 10006)
(650, 10052)
(654, 1640)
(680, 2154)
(686, 2194)
(720, 3958)
(722, 1562)
(742, 2276)
(772, 3856)
(788, 2766)
(788, 9948)
(790, 9708)
(808, 3046)
(820, 3122)
(836, 1140)
(838, 3758)
(842, 2224)
(848, 2226)
(848, 9524)
(850, 2334)
(852, 1920)
(854, 2408)
(862, 1310)
(862, 3046)
(864, 3268)
(874, 2084)
(876, 1768)
(882, 4130)
(892, 2716)
(904, 9958)
(906, 3070)
(910, 2532)
(914, 1612)
(930, 3334)
(934, 3084)
(934, 4186)
(944, 9496)
(954, 2220)
(964, 2938)
(976, 2522)
(980, 3142)
(998, 3354)
(1040, 10542)
(1048, 1148)
(1060, 1580)
(1060, 4460)
(1064, 4382)
(1066, 10114)
(1066, 10118)
(1092, 4442)
(1146, 2862)
(1164, 4276)
(1174, 4106)
(1190, 632)
(1218, 2628)
(1228, 2712)
(1244, 2798)
(1278, 4068)
(1286, 4468)
(1306, 2880)
(1352, 3012)
(1452, 2250)
(1504, 1694)
(1534, 748)
(1540, 704)
(1542, 3274)
(1550, 11404)
(1582, 11424)
(1594, 2630)
(1596, 3366)
(1662, 10338)
(1664, 732)
(1734, 3406)
(1804, 2918)
(1866, 4328)
(1870, 10440)
(1882, 714)
(1922, 10442)
(1936, 3954)
(1938, 11086)
(1966, 10588)
(1980, 2690)
(1990, 10584)
(2072, 2398)
(2086, 4038)
(2148, 10388)
(2152, 458)
(2160, 10620)
(2182, 13322)
(2186, 10618)
(2224, 320)
(2234, 11078)
(2266, 254)
(2300, 10356)
(2388, 11102)
(2436, 372)
(2438, 822)
(2454, 4444)
(2456, 4432)
(2464, 11342)
(2466, 4454)
(2472, 212)
(2552, 11260)
(2580, 2980)
(2680, 2902)
(2692, 3684)
(2744, 798)
(2756, 3936)
(2772, 2296)
(2776, 4408)
(2858, 3658)
(2950, 3588)
(2974, 1092)
(3058, 11868)
(3064, 4398)
(3072, 984)
(3102, 2398)
(3154, 11768)
(3176, 11864)
(3256, 11892)
(3258, 4396)
(3262, 11760)
(3274, 3226)
(3292, 4124)
(3300, 3084)
(3312, 12796)
(3328, 10358)
(3330, 456)
(3352, 2368)
(3362, 2862)
(3388, 430)
(3400, 11914)
(3412, 9508)
(3420, 11864)
(3444, 11656)
(3476, 2728)
(3524, 3566)
(3534, 2978)
(3536, 4194)
(3550, 11900)
(3586, 708)
(3592, 7204)
(3594, 9332)
(3612, 11828)
(3624, 4452)
(3628, 1046)
(3632, 2530)
(3640, 1774)
(3648, 9416)
(3652, 4450)
(3666, 11832)
(3680, 2522)
(3696, 11744)
(3710, 2614)
(3714, 12028)
(3728, 2204)
(3736, 2626)
(3742, 1090)
(3754, 2704)
(3760, 2598)
(3768, 2790)
(3770, 2684)
(3782, 9306)
(3786, 2694)
(3788, 2704)
(3792, 11998)
(3798, 2588)
(3802, 624)
(3802, 680)
(3802, 11864)
(3820, 3818)
(3830, 2356)
(3848, 2442)
(3862, 11084)
(3868, 9290)
(3872, 7364)
(3872, 11898)
(3908, 8932)
(3908, 9380)
(3910, 2622)
(3914, 2668)
(3918, 2942)
(3944, 4460)
(3948, 10384)
(3970, 2648)
(3984, 8950)
(3986, 12800)
(3994, 1208)
(3994, 9334)
(3994, 9392)
(3996, 4420)
(4000, 12988)
(4004, 11254)
(4006, 4396)
(4030, 4262)
(4046, 10336)
(4058, 2750)
(4060, 2772)
(4062, 7052)
(4066, 9478)
(4068, 12152)
(4078, 2832)
(4078, 12002)
(4090, 2788)
(4118, 10296)
(4166, 9374)
(4180, 3900)
(4186, 11972)
(4196, 9402)
(4214, 4330)
(4214, 4430)
(4226, 10576)
(4230, 1020)
(4276, 9338)
(4276, 10576)
(4296, 11350)
(4304, 4392)
(4326, 4362)
(4328, 10636)
(4330, 10552)
(4336, 9306)
(4336, 10436)
(4336, 10782)
(4338, 2030)
(4342, 4262)
(4350, 6968)
(4364, 10108)
(4378, 4072)
(4410, 4160)
(4414, 2428)
(4444, 2820)
(4454, 13002)
(4458, 10362)
(4464, 9272)
(4478, 10020)
(4480, 10308)
(4490, 9302)
(4496, 9308)
(4508, 6850)
(4514, 12744)
(4516, 4316)
(4518, 3820)
(4528, 4326)
(4540, 484)
(4550, 10340)
(4596, 4312)
(4604, 10538)
(4612, 10296)
(4618, 3278)
(4630, 9446)
(4638, 10546)
(4648, 10224)
(4662, 12588)
(4666, 6794)
(4676, 10514)
(4680, 12804)
(4682, 7310)
(4682, 9960)
(4686, 9232)
(4688, 10262)
(4690, 10382)
(4692, 3858)
(4694, 10496)
(4694, 10640)
(4704, 10404)
(4708, 6702)
(4712, 10212)
(4718, 10512)
(4718, 11386)
(4720, 820)
(4726, 9292)
(4732, 9838)
(4736, 9896)
(4748, 880)
(4758, 10422)
(4782, 10614)
(4788, 9876)
(4798, 10080)
(4798, 12898)
(4812, 7610)
(4812, 10068)
(4832, 7276)
(4836, 2000)
(4848, 3800)
(4850, 10668)
(4856, 9840)
(4866, 11292)
(4872, 1102)
(4874, 9754)
(4876, 11394)
(4880, 6504)
(4882, 12894)
(4898, 10574)
(4904, 8852)
(4922, 3124)
(4930, 3524)
(4932, 4430)
(4942, 6494)
(4942, 9938)
(4944, 6302)
(4952, 938)
(4980, 9990)
(4986, 3690)
(4990, 11632)
(5006, 4276)
(5010, 7292)
